"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url";"ideology";"wikidata_birthdate";"wikidata_enddate"
"Шарапова, П. Н.";"Шарапова";"П. Н.";"П. Н.";"Шарапова";"Шараповой";"";"Шарапова, П. Н.";"random_id24c182c63d1e8d9a8f1a42c39a3e00a02e269a12";"random_id24c182c63d1e8d9a8f1a42c39a3e00a02e269a12";"";"";""
"Шарлотта Валентин";"Шарлотта Валентин";"";"";"Шарлотта Валентин";"Шарлотте Валентин";"";"Шарлотта Валентин";"random_idcf14a6b9233e9de65c6970a8bc72b0d791a40298";"random_idcf14a6b9233e9de65c6970a8bc72b0d791a40298";"";"";""
"Шарль Бонэ-Мори (Charles Bonet-Maury";"Шарль Бонэ-Мори (Charles Bonet-Maury";"";"";"Шарль Бонэ-Мори (Charles Bonet-Maury";"Шарлю Бонэ-Мори (Charles Bonet-Maury";"";"Шарль Бонэ-Мори (Charles Bonet-Maury";"random_idd6a59ed41c49c23467a35f01137f59fb37d473c0";"random_idd6a59ed41c49c23467a35f01137f59fb37d473c0";"";"";""
"Шарль Бюлоз";"Шарль Бюлоз";"";"";"Шарль Бюлоз";"Шарлю Бюлозу";"";"Шарль Бюлоз";"random_idb2239c41e7bfb78e1afef3d27a8e9ceb2375972c";"random_idb2239c41e7bfb78e1afef3d27a8e9ceb2375972c";"";"";""
"Шарль Жид";"Шарль Жид";"";"";"Шарль Жид";"Шарлю Жиду";"";"Шарль Жид";"Q1064547";"https://www.wikidata.org/wiki/Q1064547";"";"1847";"1932"
"Шарль Огюстен Сент-Бев";"Шарль Огюстен Сент-Бев";"";"";"Шарль Огюстен Сент-Бев";"Шарлю Огюстену Сент-Беву";"";"Шарль Огюстен Сент-Бев";"Q1063392";"https://www.wikidata.org/wiki/Q1063392";"";"1804";"1869"
"Шарль Саломон";"Шарль Саломон";"";"";"Шарль Саломон";"Шарлю Саломону";"";"Шарль Саломон";"random_id78d4cd84ad350944bd328a4404307ffda8e1e67c";"random_id78d4cd84ad350944bd328a4404307ffda8e1e67c";"";"";""
"Шарль Эдмон";"Шарль Эдмон";"";"";"Шарль Эдмон";"Шарлю Эдмону";"";"Шарль Эдмон";"Q1240856";"https://www.wikidata.org/wiki/Q1240856";"";"1805";"1876"
"Шаров, А. Ф.";"Шаров";"А. Ф.";"А. Ф.";"Шаров";"Шарову";"";"Шаров, А. Ф.";"random_id85c7ab0a9e5296ca27a7831f640f6a0f9095ff3b";"random_id85c7ab0a9e5296ca27a7831f640f6a0f9095ff3b";"";"";""
"Шаров, И. П.";"Шаров";"И. П.";"И. П.";"Шаров";"Шарову";"";"Шаров, И. П.";"random_ida271d135893c4a3c692939261b3275f09895bb10";"random_ida271d135893c4a3c692939261b3275f09895bb10";"";"";""
"Шарп";"Шарп";"";"";"Шарп";"Шарпу";"";"Шарп";"Q93688";"https://www.wikidata.org/wiki/Q93688";"";"1840";"1922"
"Шассен, Ш.";"Шассен";"Ш.";"Ш.";"Шассен";"Шассену";"";"Шассен, Ш.";"random_id0335bf47cf28d5173b4522e6a05a776340e7b387";"random_id0335bf47cf28d5173b4522e6a05a776340e7b387";"";"";""
"Шассен, Ш.-Л.";"Шассен";"Ш.-Л.";"Ш.-Л.";"Шассен";"Шассену";"";"Шассен, Ш.-Л.";"random_id6d252bd78c209c27f83c52697a00bdea95da61df";"random_id6d252bd78c209c27f83c52697a00bdea95da61df";"";"";""
"Шаталин, Г. К.";"Шаталин";"Г. К.";"Г. К.";"Шаталин";"Шаталину";"";"Шаталин, Г. К.";"random_id8ae057b97f206a6c561c0442c23a1285649a7de7";"random_id8ae057b97f206a6c561c0442c23a1285649a7de7";"";"";""
"Шатобриан, Ф.-Р.";"Шатобриан";"Ф.-Р.";"Ф.-Р.";"Шатобриан";"Шатобриану";"";"Шатобриан, Ф.-Р.";"random_id810322653a2000ab9d5c355389ee6272bed1cde5";"random_id810322653a2000ab9d5c355389ee6272bed1cde5";"";"";""
"Шатобриан, Франсуа Рене де";"Шатобриан";"Франсуа Рене де";"Ф. Р.";"Шатобриан";"Шатобриан";"Шатобриан, Франсуа Рене де";"Шатобриан, Ф. Р.";"Q49767";"https://www.wikidata.org/wiki/Q49767";"";"1768";"1848"
"Шатров, Н. М.";"Шатров";"Н. М.";"Н. М.";"Шатров";"Шатрову";"";"Шатров, Н. М.";"random_idd6a921788841f6679d902196cbfea44ad03d80a2";"random_idd6a921788841f6679d902196cbfea44ad03d80a2";"";"";""
"Шатунов, М.";"Шатунов";"М.";"М.";"Шатунов";"Шатунову";"";"Шатунов, М.";"random_idd22a74337984408dec2e6d1b34f1160d8da300c9";"random_idd22a74337984408dec2e6d1b34f1160d8da300c9";"";"";""
"Шафарик, П.";"Шафарик";"П.";"П.";"Шафарик";"Шафарику";"";"Шафарик, П.";"Q158354";"https://www.wikidata.org/wiki/Q158354";"";"1795";"1861"
"Шафарик, П. И.";"Шафарик";"П. И.";"П. И.";"Шафарик";"Шафарику";"";"Шафарик, П. И.";"Q158354";"https://www.wikidata.org/wiki/Q158354";"";"1795";"1861"
"Шафарик, Павел Йозеф";"Шафарик";"Павел Йозеф";"П. Й.";"Шафарик";"Шафарик";"Шафарик, Павел Йозеф";"Шафарик, П. Й.";"Q158354";"https://www.wikidata.org/wiki/Q158354";"";"1795";"1861"
"Шаховская, В. Ф.";"Шаховская";"В. Ф.";"В. Ф.";"Шаховская";"Шаховской";"";"Шаховская, В. Ф.";"random_idab022bd6f2c89d513a028a7b5a2ba2fe1839b9b8";"random_idab022bd6f2c89d513a028a7b5a2ba2fe1839b9b8";"";"";""
"Шаховская, Н. Д.";"Шаховская";"Н. Д.";"Н. Д.";"Шаховская";"Шаховской";"";"Шаховская, Н. Д.";"random_id375142c590c4e0201f986f3e4dbb30af86a72257";"random_id375142c590c4e0201f986f3e4dbb30af86a72257";"";"";""
"Шаховской, А. А.";"Шаховской";"Александр Александрович";"А. А.";"Шаховской";"Шаховскому";"Шаховской, Александр Александрович";"Шаховской, А. А.";"Q3740432";"https://www.wikidata.org/wiki/Q3740432";"";"1777";"1846"
"Шаховской, Александр Александрович";"Шаховской";"Александр Александрович";"А. А.";"Шаховской";"Шаховской";"Шаховской, Александр Александрович";"Шаховской, А. А.";"Q3740432";"https://www.wikidata.org/wiki/Q3740432";"";"1777";"1846"
"Шаховской, С. И.";"Шаховской";"С. И.";"С. И.";"Шаховской";"Шаховскому";"";"Шаховской, С. И.";"random_idfa6725a10a123bf132c773db23fb35165094aec7";"random_idfa6725a10a123bf132c773db23fb35165094aec7";"";"";""
"Шашкин, А. И.";"Шашкин";"А. И.";"А. И.";"Шашкин";"Шашкину";"";"Шашкин, А. И.";"random_idde9ab1e094c984b84534189b4e8b6514fad53e5a";"random_idde9ab1e094c984b84534189b4e8b6514fad53e5a";"";"";""
"Шашкин, М. Е.";"Шашкин";"М. Е.";"М. Е.";"Шашкин";"Шашкину";"";"Шашкин, М. Е.";"random_idb31270215e07d2cd095e817565f63e9f001a976b";"random_idb31270215e07d2cd095e817565f63e9f001a976b";"";"";""
"Шварабович, А. Ф.";"Шварабович";"А. Ф.";"А. Ф.";"Шварабович";"Шварабовичу";"";"Шварабович, А. Ф.";"random_idd943303039b729f99b0e0225f6719f3deda8a13e";"random_idd943303039b729f99b0e0225f6719f3deda8a13e";"";"";""
"Шварц, Д. М.";"Шварц";"Д. М.";"Д. М.";"Шварц";"Шварцу";"";"Шварц, Д. М.";"random_id87e5887378612d2790271cc46de05a7b0a997677";"random_id87e5887378612d2790271cc46de05a7b0a997677";"";"";""
"Швец, А. С.";"Швец";"А. С.";"А. С.";"Швец";"Швецу";"";"Швец, А. С.";"random_ide7d86427c6b9a24f540fb246d4a6f71a47819369";"random_ide7d86427c6b9a24f540fb246d4a6f71a47819369";"";"";""
"Шевич, И. Е.";"Шевич";"И. Е.";"И. Е.";"Шевич";"Шевичу";"";"Шевич, И. Е.";"random_id891599866cfd13afe955ca2c7c6e2a62d590a4ff";"random_id891599866cfd13afe955ca2c7c6e2a62d590a4ff";"";"";""
"Шевцов, З. Н.";"Шевцов";"З. Н.";"З. Н.";"Шевцов";"Шевцову";"";"Шевцов, З. Н.";"random_ide7a9149178f4c0d06e1a7ecf69baa7853b2b1f58";"random_ide7a9149178f4c0d06e1a7ecf69baa7853b2b1f58";"";"";""
"Шевченко, Т. Г.";"Шевченко";"Т. Г.";"Т. Г.";"Шевченко";"Шевченко";"";"Шевченко, Т. Г.";"Q134958";"https://www.wikidata.org/wiki/Q134958";"";"1814";"1861"
"Шевырёв";"Шевырёв";"";"";"Шевырёв";"Шевыреву";"";"Шевырёв";"Q4522317";"https://www.wikidata.org/wiki/Q4522317";"";"1859";"1920"
"Шевырёв, С. П.";"Шевырёв";"Степан Петрович";"С. П.";"Шевырёв";"Шевыреву";"Шевырёв, Степан Петрович";"Шевырёв, С. П.";"Q1967027";"https://www.wikidata.org/wiki/Q1967027";"слав";"1806";"1864"
"Шевырёв, Степан Петрович";"Шевырёв";"Степан Петрович";"С. П.";"Шевырёв";"Шевырёв";"Шевырёв, Степан Петрович";"Шевырёв, С. П.";"Q1967027";"https://www.wikidata.org/wiki/Q1967027";"слав";"1806";"1864"
"Шези, Г.";"Шези";"Г.";"Г.";"Шези";"Шези";"";"Шези, Г.";"random_id2b9fd5474b3b41198c0673ff9f19318ba0d470f6";"random_id2b9fd5474b3b41198c0673ff9f19318ba0d470f6";"";"";""
"Шейерман, В. А.";"Шейерман";"В. А.";"В. А.";"Шейерман";"Шейерману";"";"Шейерман, В. А.";"random_id905c4b97d9fbcafcb693d9729364bdac7882ea50";"random_id905c4b97d9fbcafcb693d9729364bdac7882ea50";"";"";""
"Шейерман, Н. А.";"Шейерман";"Н. А.";"Н. А.";"Шейерман";"Шейерману";"";"Шейерман, Н. А.";"random_id9814018c8b9c81a247627faa6da884c94c4c74f6";"random_id9814018c8b9c81a247627faa6da884c94c4c74f6";"";"";""
"Шейн, П.";"Шейн";"П.";"П.";"Шейн";"Шейну";"";"Шейн, П.";"Q3920084";"https://www.wikidata.org/wiki/Q3920084";"";"1826";"1900"
"Шелгунов, М. Н.";"Шелгунов";"М. Н.";"М. Н.";"Шелгунов";"Шелгунову";"";"Шелгунов, М. Н.";"random_id8d09d6aba5244853a06cae634c42d1da8d422687";"random_id8d09d6aba5244853a06cae634c42d1da8d422687";"";"";""
"Шелгунов, Н.";"Шелгунов";"Н.";"Н.";"Шелгунов";"Шелгунову";"";"Шелгунов, Н.";"random_ide3f53ebd50e615bc3a8507aeff0f972f1b4d8afe";"random_ide3f53ebd50e615bc3a8507aeff0f972f1b4d8afe";"";"";""
"Шелгунов, Н. В.";"Шелгунов";"Николай Васильевич";"Н. В.";"Шелгунов";"Шелгунову";"Шелгунов, Николай Васильевич";"Шелгунов, Н. В.";"Q3341631";"https://www.wikidata.org/wiki/Q3341631";"";"1824";"1891"
"Шелгунов, Николай Васильевич";"Шелгунов";"Николай Васильевич";"Н. В.";"Шелгунов";"Шелгунов";"Шелгунов, Николай Васильевич";"Шелгунов, Н. В.";"Q3341631";"https://www.wikidata.org/wiki/Q3341631";"";"1824";"1891"
"Шелгуновая, Л. П.";"Шелгуновая";"Л. П.";"Л. П.";"Шелгуновая";"Шелгуновой";"";"Шелгуновая, Л. П.";"random_idb4b8a8b6ee1fefeafe9abc005e333895ca5fa4a7";"random_idb4b8a8b6ee1fefeafe9abc005e333895ca5fa4a7";"";"";""
"Шелгуновы, Л. П.";"Шелгуновы";"Л. П.";"Л. П.";"Шелгуновый";"Шелгуновым";"";"Шелгуновый, Л. П.";"random_id113404a125d4ee6142b59ee3a2533b31b625263d";"random_id113404a125d4ee6142b59ee3a2533b31b625263d";"";"";""
"Шелгуновы, Н. В.";"Шелгуновы";"Н. В.";"Н. В.";"Шелгуновый";"Шелгуновым";"Шелгунов, Николай Васильевич";"Шелгуновый, Н. В.";"random_ide022ec5cb072383e3c5e43ca91088a3d35389fb3";"random_ide022ec5cb072383e3c5e43ca91088a3d35389fb3";"";"";""
"Шеллер-Михайлов, А. К.";"Шеллер-Михайлов";"Александр Константинович (А. Михайлов)";"А. К.";"Шеллер-Михайлов";"Шеллеру-Михайлову";"Шеллер-Михайлов, Александр Константинович (А. Михайлов)";"Шеллер-Михайлов, А. К.";"Q4522683";"https://www.wikidata.org/wiki/Q4522683";"";"1838";"1900"
"Шеллер-Михайлов, Александр Константинович (А. Михайлов)";"Шеллер-Михайлов";"Александр Константинович (А. Михайлов)";"А. К.";"Шеллер-Михайлов";"Шеллер-Михайлов";"Шеллер-Михайлов, Александр Константинович (А. Михайлов)";"Шеллер-Михайлов, А. К.";"Q4522683";"https://www.wikidata.org/wiki/Q4522683";"";"1838";"1900"
"Шеллер, А. К.";"Шеллер";"А. К.";"А. К.";"Шеллер";"Шеллеру";"";"Шеллер, А. К.";"random_id4bf3633df1689e1bf18079710c2832fa0e7a2c5e";"random_id4bf3633df1689e1bf18079710c2832fa0e7a2c5e";"";"";""
"Шеллинг";"Шеллинг";"";"";"Шеллинг";"Шеллингу";"";"Шеллинг";"Q60070";"https://www.wikidata.org/wiki/Q60070";"";"1775";"1854"
"Шеломов, А. Г.";"Шеломов";"А. Г.";"А. Г.";"Шеломов";"Шеломову";"";"Шеломов, А. Г.";"random_idaaa183e16412330ed90a1b0842d57a5f1f0f1c21";"random_idaaa183e16412330ed90a1b0842d57a5f1f0f1c21";"";"";""
"Шемаев, Н. И.";"Шемаев";"Н. И.";"Н. И.";"Шемаев";"Шемаеву";"";"Шемаев, Н. И.";"random_id31ab8cf6349c7963f63b73bb0906ea2f0234b0db";"random_id31ab8cf6349c7963f63b73bb0906ea2f0234b0db";"";"";""
"Шемановский, М. И.";"Шемановский";"М. И.";"М. И.";"Шемановский";"Шемановскому";"";"Шемановский, М. И.";"random_id68f87ba041ceabe46c38ea346ee5e36cc30858fb";"random_id68f87ba041ceabe46c38ea346ee5e36cc30858fb";"";"";""
"Шемиот, С. В.";"Шемиот";"С. В.";"С. В.";"Шемиот";"Шемиоту";"";"Шемиот, С. В.";"random_idc37cdaeffd5b6f663c5c184b7a5bf72f4ffbfb18";"random_idc37cdaeffd5b6f663c5c184b7a5bf72f4ffbfb18";"";"";""
"Шенберг, А. А.";"Шенберг";"А. А.";"А. А.";"Шенберг";"Шенбергу";"";"Шенберг, А. А.";"random_id7bf7e056a329a7522e4ca79db88a72ea8b020b40";"random_id7bf7e056a329a7522e4ca79db88a72ea8b020b40";"";"";""
"Шеншин, П. А.";"Шеншин";"П. А.";"П. А.";"Шеншин";"Шеншину";"";"Шеншин, П. А.";"random_idf708a90c383ca558809f5b6795661d84f33b2fd3";"random_idf708a90c383ca558809f5b6795661d84f33b2fd3";"";"";""
"Шепелев";"Шепелев";"";"";"Шепелев";"Шепелеву";"";"Шепелев";"Q4522918";"https://www.wikidata.org/wiki/Q4522918";"";"1841";"1887"
"Шепелев, П. Н.";"Шепелев";"П. Н.";"П. Н.";"Шепелев";"Шепелеву";"";"Шепелев, П. Н.";"random_id85915d0c67fc52fc4b17f5799478acade97f2eac";"random_id85915d0c67fc52fc4b17f5799478acade97f2eac";"";"";""
"Шепилов, Д. Т.";"Шепилов";"Д. Т.";"Д. Т.";"Шепилов";"Шепилову";"";"Шепилов, Д. Т.";"random_id07987fc85bb208855834484c24a7cacb874e14d1";"random_id07987fc85bb208855834484c24a7cacb874e14d1";"";"";""
"Шер, В. Д.";"Шер";"В. Д.";"В. Д.";"Шер";"Шеру";"";"Шер, В. Д.";"random_id0f3f128a94d23a014edda765adaef805bbd89bec";"random_id0f3f128a94d23a014edda765adaef805bbd89bec";"";"";""
"Шереметев, А. В.";"Шереметев";"А. В.";"А. В.";"Шереметев";"Шереметеву";"";"Шереметев, А. В.";"random_id3da5eb9259492b2a3d451fc95b17e1af1af6722a";"random_id3da5eb9259492b2a3d451fc95b17e1af1af6722a";"";"";""
"Шереметев, Д. Н.";"Шереметев";"Д. Н.";"Д. Н.";"Шереметев";"Шереметеву";"";"Шереметев, Д. Н.";"random_id3c15a71c839d23945bb4f52fdd61be268a2bd9f9";"random_id3c15a71c839d23945bb4f52fdd61be268a2bd9f9";"";"";""
"Шереметев, Н. П.";"Шереметев";"Н. П.";"Н. П.";"Шереметев";"Шереметеву";"";"Шереметев, Н. П.";"random_ide07c563bc577bef1feb0c9b281440cc1a3bbcad9";"random_ide07c563bc577bef1feb0c9b281440cc1a3bbcad9";"";"";""
"Шереметев, С. Д.";"Шереметев";"С. Д.";"С. Д.";"Шереметев";"Шереметеву";"";"Шереметев, С. Д.";"random_id8bc69326125bb1d9a69ec7b278e2a651726e4609";"random_id8bc69326125bb1d9a69ec7b278e2a651726e4609";"";"";""
"Шереметева, Н. Н.";"Шереметева";"Н. Н.";"Н. Н.";"Шереметева";"Шереметевой";"";"Шереметева, Н. Н.";"random_idb25dea393ba37457551e68f05020a346d8a32356";"random_idb25dea393ba37457551e68f05020a346d8a32356";"";"";""
"Шереметева, Н. Ч.";"Шереметева";"Н. Ч.";"Н. Ч.";"Шереметева";"Шереметевой";"";"Шереметева, Н. Ч.";"random_idcee0425e096f95fe9ed816e6d4fdb5b08c3df9e9";"random_idcee0425e096f95fe9ed816e6d4fdb5b08c3df9e9";"";"";""
"Шеркер, Ш.";"Шеркер";"Ш.";"Ш.";"Шеркер";"Шеркеру";"";"Шеркер, Ш.";"random_id0609bc654eef4ccfa3c4a6292908060657f2acb7";"random_id0609bc654eef4ccfa3c4a6292908060657f2acb7";"";"";""
"Шеховцов, И. М.";"Шеховцов";"И. М.";"И. М.";"Шеховцов";"Шеховцову";"";"Шеховцов, И. М.";"random_idc6e84075cce2cd92bc91361fa3f903f7d64ca149";"random_idc6e84075cce2cd92bc91361fa3f903f7d64ca149";"";"";""
"Шехтель, Ф. О.";"Шехтель";"Ф. О.";"Ф. О.";"Шехтель";"Шехтелю";"";"Шехтель, Ф. О.";"random_id7c8dc32c3d0a7cbb9df11aa47485b5615999a49f";"random_id7c8dc32c3d0a7cbb9df11aa47485b5615999a49f";"";"";""
"Шешковский, С. И.";"Шешковский";"С. И.";"С. И.";"Шешковский";"Шешковскому";"";"Шешковский, С. И.";"random_idea36ce2b41a1a8e52c86cf8f653eccada134461c";"random_idea36ce2b41a1a8e52c86cf8f653eccada134461c";"";"";""
"Шидловская, М. И.";"Шидловская";"М. И.";"М. И.";"Шидловская";"Шидловской";"";"Шидловская, М. И.";"random_id92e0810ed60820d4b1cb2313d750eccfd2e2dbb2";"random_id92e0810ed60820d4b1cb2313d750eccfd2e2dbb2";"";"";""
"Шидловский, А. Р.";"Шидловский";"А. Р.";"А. Р.";"Шидловский";"Шидловскому";"";"Шидловский, А. Р.";"random_id0d99425a2dddbb82dec1d5c0c61985ff081eae92";"random_id0d99425a2dddbb82dec1d5c0c61985ff081eae92";"";"";""
"Шидловский, М. Р.";"Шидловский";"М. Р.";"М. Р.";"Шидловский";"Шидловскому";"";"Шидловский, М. Р.";"random_id8d2cc06df4f81428e1840d9c755f5b577bf5bb0b";"random_id8d2cc06df4f81428e1840d9c755f5b577bf5bb0b";"";"";""
"Шидловский, С. В.";"Шидловский";"С. В.";"С. В.";"Шидловский";"Шидловскому";"";"Шидловский, С. В.";"random_idbf2704c7959b9e86548719e2072a8ab397578184";"random_idbf2704c7959b9e86548719e2072a8ab397578184";"";"";""
"Шикунов, И.";"Шикунов";"И.";"И.";"Шикунов";"Шикунову";"";"Шикунов, И.";"random_id8706fd98e51de67595dc4ea6d8602ca6560e2abe";"random_id8706fd98e51de67595dc4ea6d8602ca6560e2abe";"";"";""
"Шикунов, И. М.";"Шикунов";"И. М.";"И. М.";"Шикунов";"Шикунову";"";"Шикунов, И. М.";"random_idb729ed33f7f6a2f4d2873bc1d9ef5417c21e9343";"random_idb729ed33f7f6a2f4d2873bc1d9ef5417c21e9343";"";"";""
"Шильцов, А.";"Шильцов";"А.";"А.";"Шильцов";"Шильцову";"";"Шильцов, А.";"random_id63e2a33c91d6818812747662ec4db926afe5b5c8";"random_id63e2a33c91d6818812747662ec4db926afe5b5c8";"";"";""
"Шимановская, М.";"Шимановская";"М.";"М.";"Шимановская";"Шимановской";"";"Шимановская, М.";"random_id110e0fb4a62c0c5fcd3223787644c51559c54fd4";"random_id110e0fb4a62c0c5fcd3223787644c51559c54fd4";"";"";""
"Шимановский, В. Ю.";"Шимановский";"В. Ю.";"В. Ю.";"Шимановский";"Шимановскому";"";"Шимановский, В. Ю.";"random_id04c6b9831a19b9f9d4b81b03d8d88ba5a23a1b28";"random_id04c6b9831a19b9f9d4b81b03d8d88ba5a23a1b28";"";"";""
"Шипов, В. М.";"Шипов";"В. М.";"В. М.";"Шипов";"Шипову";"";"Шипов, В. М.";"random_id54ae1ec105c3fc094c19ae9bb7f70ee3f0dad030";"random_id54ae1ec105c3fc094c19ae9bb7f70ee3f0dad030";"";"";""
"Шипов, С. П.";"Шипов";"С. П.";"С. П.";"Шипов";"Шипову";"";"Шипов, С. П.";"random_id1b3a0f7f0afb47397edbd08c3c78c00a100b3c1a";"random_id1b3a0f7f0afb47397edbd08c3c78c00a100b3c1a";"";"";""
"Шипова, Д. А.";"Шипова";"Д. А.";"Д. А.";"Шипова";"Шиповой";"";"Шипова, Д. А.";"random_idb1cab435910f597cb14974e674c6f027457def6b";"random_idb1cab435910f597cb14974e674c6f027457def6b";"";"";""
"Шираиши Киносукэ";"Шираиши Киносукэ";"";"";"Шираиши Киносукэ";"Шираиши Киносукэ";"";"Шираиши Киносукэ";"random_idc84948aab07207e10582fd7e00b5b9764eb4aa11";"random_idc84948aab07207e10582fd7e00b5b9764eb4aa11";"";"";""
"Ширинский-Шахматов, П. А.";"Ширинский-Шахматов";"П. А.";"П. А.";"Ширинский-Шахматов";"Ширинскому-Шахматову";"";"Ширинский-Шахматов, П. А.";"random_id7133234bf57bab7a29941f25f0aa24462482cc61";"random_id7133234bf57bab7a29941f25f0aa24462482cc61";"";"";""
"Ширинский-Шихматов, А. П.";"Ширинский-Шихматов";"А. П.";"А. П.";"Ширинский-Шихматов";"Ширинскому-Шихматову";"";"Ширинский-Шихматов, А. П.";"random_idcde49d4bb482defdc769cbe3eaed34fd273c4836";"random_idcde49d4bb482defdc769cbe3eaed34fd273c4836";"";"";""
"Ширинский-Шихматов, П. А.";"Ширинский-Шихматов";"Платон Александрович";"П. А.";"Ширинский-Шихматов";"Ширинскому-Шихматову";"Ширинский-Шихматов, Платон Александрович";"Ширинский-Шихматов, П. А.";"Q3391998";"https://www.wikidata.org/wiki/Q3391998";"";"1790";"1853"
"Ширинский-Шихматов, Платон Александрович";"Ширинский-Шихматов";"Платон Александрович";"П. А.";"Ширинский-Шихматов";"Ширинский-Шихматов";"Ширинский-Шихматов, Платон Александрович";"Ширинский-Шихматов, П. А.";"Q3391998";"https://www.wikidata.org/wiki/Q3391998";"";"1790";"1853"
"Широков, А. А.";"Широков";"А. А.";"А. А.";"Широков";"Широкову";"";"Широков, А. А.";"random_id4adb09d65a7acd60bb3db4392202afd84714b3df";"random_id4adb09d65a7acd60bb3db4392202afd84714b3df";"";"";""
"Широков, В.";"Широков";"В.";"В.";"Широков";"Широкову";"";"Широков, В.";"random_idaccd55ecb783c8aef58e7e074f9cc913f4d29d42";"random_idaccd55ecb783c8aef58e7e074f9cc913f4d29d42";"";"";""
"Ширском, К. И.";"Ширском";"К. И.";"К. И.";"Ширском";"Ширскому";"";"Ширском, К. И.";"random_id40f07b4eba7f22e204860124876fc25a71fe4cf0";"random_id40f07b4eba7f22e204860124876fc25a71fe4cf0";"";"";""
"Шифрин, А. Л.";"Шифрин";"А. Л.";"А. Л.";"Шифрин";"Шифрину";"";"Шифрин, А. Л.";"random_ide79ebed1b0542586596a4c25766d83e42a707143";"random_ide79ebed1b0542586596a4c25766d83e42a707143";"";"";""
"Шишкин, А.";"Шишкин";"А.";"А.";"Шишкин";"Шишкину";"";"Шишкин, А.";"random_id9b20c579881f05d7bcf937009aaf11cc268d1a93";"random_id9b20c579881f05d7bcf937009aaf11cc268d1a93";"";"";""
"Шишкин, П. С.";"Шишкин";"П. С.";"П. С.";"Шишкин";"Шишкину";"";"Шишкин, П. С.";"random_id1310462d63362cd977dac423ea972a9ed354e86b";"random_id1310462d63362cd977dac423ea972a9ed354e86b";"";"";""
"Шишкина, М. М.";"Шишкина";"М. М.";"М. М.";"Шишкина";"Шишкиной";"";"Шишкина, М. М.";"random_id082bea528a4bbab57fca30f3298e917c97a3627a";"random_id082bea528a4bbab57fca30f3298e917c97a3627a";"";"";""
"Шишкина, О. Н.";"Шишкина";"О. Н.";"О. Н.";"Шишкина";"Шишкиной";"";"Шишкина, О. Н.";"random_id6ab310343d63f831d2c46d3fbdffdcc2dca874f5";"random_id6ab310343d63f831d2c46d3fbdffdcc2dca874f5";"";"";""
"Шишков, А. А.";"Шишков";"Александр Ардалионович";"А. А.";"Шишков";"Шишкову";"Шишков, Александр Ардалионович";"Шишков, А. А.";"Q15061051";"https://www.wikidata.org/wiki/Q15061051";"";"1799";"1832"
"Шишков, А. С.";"Шишков";"Александр Семёнович";"А. С.";"Шишков";"Шишкову";"Шишков, Александр Семёнович";"Шишков, А. С.";"Q2522179";"https://www.wikidata.org/wiki/Q2522179";"";"1754";"1841"
"Шишков, Александр Ардалионович";"Шишков";"Александр Ардалионович";"А. А.";"Шишков";"Шишков";"Шишков, Александр Ардалионович";"Шишков, А. А.";"Q15061051";"https://www.wikidata.org/wiki/Q15061051";"";"1799";"1832"
"Шишков, Александр Семёнович";"Шишков";"Александр Семёнович";"А. С.";"Шишков";"Шишков";"Шишков, Александр Семёнович";"Шишков, А. С.";"Q2522179";"https://www.wikidata.org/wiki/Q2522179";"";"1754";"1841"
"Шишкова, Д. А.";"Шишкова";"Д. А.";"Д. А.";"Шишкова";"Шишковой";"";"Шишкова, Д. А.";"random_id9b8ed352e6d3fa05a31f90a3c4450f8e6bc8228b";"random_id9b8ed352e6d3fa05a31f90a3c4450f8e6bc8228b";"";"";""
"Шишкова, Екатерина (Твердовская)";"Шишкова";"Екатерина (Твердовская)";"Е. (.";"Шишкова";"Шишкова";"Шишкова, Екатерина (Твердовская)";"Шишкова, Е. (.";"random_id632e5249669b325b806d18077ec46bf4af8a96c6";"random_id632e5249669b325b806d18077ec46bf4af8a96c6";"";"";""
"Шишковы, П. Н.";"Шишковы";"П. Н.";"П. Н.";"Шишковы";"Шишковым";"";"Шишковы, П. Н.";"random_id342a7eacd3cdd09a17b1f3a2586bbf54c4b43f1a";"random_id342a7eacd3cdd09a17b1f3a2586bbf54c4b43f1a";"";"";""
"Шишковы, С. Н.";"Шишковы";"С. Н.";"С. Н.";"Шишковы";"Шишковым";"";"Шишковы, С. Н.";"random_id467c5a5b898c94539e33ef6f49063406c637850f";"random_id467c5a5b898c94539e33ef6f49063406c637850f";"";"";""
"Шкарван, А.";"Шкарван";"А.";"А.";"Шкарван";"Шкарвану";"";"Шкарван, А.";"random_id5cb4be4910f0fbc985608b474e7ee2f2788f12a2";"random_id5cb4be4910f0fbc985608b474e7ee2f2788f12a2";"";"";""
"Шкарван, А. А.";"Шкарван";"А. А.";"А. А.";"Шкарван";"Шкарвану";"";"Шкарван, А. А.";"random_id8204e24e2971b40ff20af43b0ce9271ca2bd1597";"random_id8204e24e2971b40ff20af43b0ce9271ca2bd1597";"";"";""
"Шлейден, П. И.";"Шлейден";"П. И.";"П. И.";"Шлейден";"Шлейден";"";"Шлейден, П. И.";"random_id939809da8ce34ca17f9e521ed265588f2b8c3dbb";"random_id939809da8ce34ca17f9e521ed265588f2b8c3dbb";"";"";""
