"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url"
"Лажечников, И. И.";"Лажечников";"Иван Иванович";"И. И.";"Лажечников";"Лажечникову";"Лажечников, Иван Иванович";"Лажечников, И. И.";"Q922027";"https://www.wikidata.org/wiki/Q922027"
"Горбунов, И. Ф.";"Горбунов";"Иван Фёдорович";"И. Ф.";"Горбунов";"Горбунову";"Горбунов, Иван Фёдорович";"Горбунов, И. Ф.";"Q4143702";"https://www.wikidata.org/wiki/Q4143702"
"Алчевская, Христина Даниловна";"Алчевская";"Христина Даниловна";"Х. Д.";"Алчевская";"Алчевская";"Алчевская, Христина Даниловна";"Алчевская, Х. Д.";"Q4063217";"https://www.wikidata.org/wiki/Q4063217"
"Успенский, Г. И.";"Успенский";"Глеб Иванович";"Г. И.";"Успенский";"Успенскому";"Успенский, Глеб Иванович";"Успенский, Г. И.";"Q171242";"https://www.wikidata.org/wiki/Q171242"
"Альбов, Михаил Нилович";"Альбов";"Михаил Нилович";"М. Н.";"Альбов";"Альбов";"Альбов, Михаил Нилович";"Альбов, М. Н.";"Q4063404";"https://www.wikidata.org/wiki/Q4063404"
"Чехов, А. П.";"Чехов";"Александр Павлович";"А. П.";"Чехов";"Чехову";"Чехов, Александр Павлович";"Чехов, А. П.";"Q4515202";"https://www.wikidata.org/wiki/Q4515202"
"Гуревич, Л. Я.";"Гуревич";"Л. Я.";"Л. Я.";"Гуревич";"Гуревич";"";"Гуревич, Л. Я.";"Q4152306";"https://www.wikidata.org/wiki/Q4152306"
"ред. «Новостей»";"ред. «Новостей»";"";"";"ред. «Новостей»";"ред. «Новостей»";"";"ред. «Новостей»";"";""
"Анастасевич, Василий Григорьевич";"Анастасевич";"Василий Григорьевич";"В. Г.";"Анастасевич";"Анастасевич";"Анастасевич, Василий Григорьевич";"Анастасевич, В. Г.";"Q4064878";"https://www.wikidata.org/wiki/Q4064878"
"Андреевский, Сергей Аркадьевич";"Андреевский";"Сергей Аркадьевич";"С. А.";"Андреевский";"Андреевский";"Андреевский, Сергей Аркадьевич";"Андреевский, С. А.";"Q4065729";"https://www.wikidata.org/wiki/Q4065729"
