автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;;адресат;количество писем;даты
Языков, Дмитрий Иванович;историк, переводчик;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 4 .октября 1835.;;;;;;
Гоголь, Николай Васильевич;писатель;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 7 октября 1835.;;;;;;
Бух, Константин Андреевич;общественный деятель, литератор;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 9 октября 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;П. А. Плетневу. (1). ~ 11 октября 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Е. Ф. Канкрину. (1). 23 октября 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. X. Бенкендорфу. (1). ~ 23 октября 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;П. А. Осиповой. (1). ~ 26 октября 1835.;;;;;;
Иванов, Никанор;;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 2 ноября 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;И. И. Лажечникову. (1). 3 ноября 1835.;;;;;;
Фукс, Александра Андреевна;поэтесса, автор этнографических очерков и мемуаров;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 15 ноября 1835.;;;;;;
