"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url"
"Александра Михайловна";"Александра Михайловна";"";"";"Александра Михайловна";"Александре Михайловне";"";"Александра Михайловна";"";""
"Александра Фёдоровна";"Александра Фёдоровна";"";"";"Александра Фёдоровна";"Александре Федоровне";"";"Александра Фёдоровна";"";""
"Александрина Дюлу";"Александрина Дюлу";"";"";"Александрина Дюлу";"Александрине Дюлу";"";"Александрина Дюлу";"";""
"Александров, А. А.";"Александров";"А. А.";"А. А.";"Александров";"Александрову";"";"Александров, А. А.";"";""
"Александров, М. А.";"Александров";"М. А.";"М. А.";"Александров";"Александрову";"";"Александров, М. А.";"";""
"Александров, М. Л.";"Александров";"М. Л.";"М. Л.";"Александров";"Александрову";"";"Александров, М. Л.";"";""
"Александров, Н. А.";"Александров";"Н. А.";"Н. А.";"Александров";"Александрову";"";"Александров, Н. А.";"";""
"Александров, П.";"Александров";"П.";"П.";"Александров";"Александров";"Александров, П.";"Александров, П.";"";""
"Александров, С. К.";"Александров";"С. К.";"С. К.";"Александров";"Александрову";"";"Александров, С. К.";"";""
"Алексеев, А. И.";"Алексеев";"А. И.";"А. И.";"Алексеев";"Алексееву";"";"Алексеев, А. И.";"";""
"Алексеев, В. А.";"Алексеев";"В. А.";"В. А.";"Алексеев";"Алексееву";"";"Алексеев, В. А.";"";""
"Алексеев, В. И.";"Алексеев";"В. И.";"В. И.";"Алексеев";"Алексееву";"";"Алексеев, В. И.";"";""
"Алексеев, И. И.";"Алексеев";"И. И.";"И. И.";"Алексеев";"Алексееву";"";"Алексеев, И. И.";"";""
"Алексеев, К. С.";"Алексеев";"К. С.";"К. С.";"Алексеев";"Алексееву";"";"Алексеев, К. С.";"";""
"Алексеев, Н. П.";"Алексеев";"Н. П.";"Н. П.";"Алексеев";"Алексееву";"";"Алексеев, Н. П.";"";""
"Алексеев, Н. С.";"Алексеев";"Николай Степанович";"Н. С.";"Алексеев";"Алексееву";"Алексеев, Николай Степанович";"Алексеев, Н. С.";"";""
"Алексеев, Николай Степанович";"Алексеев";"Николай Степанович";"Н. С.";"Алексеев";"Алексеев";"Алексеев, Николай Степанович";"Алексеев, Н. С.";"";""
"Алексеев, П. С.";"Алексеев";"П. С.";"П. С.";"Алексеев";"Алексееву";"";"Алексеев, П. С.";"";""
"Алексеев, С.";"Алексеев";"С.";"С.";"Алексеев";"Алексееву";"";"Алексеев, С.";"";""
"Алексеев, С. И.";"Алексеев";"С. И.";"С. И.";"Алексеев";"Алексееву";"";"Алексеев, С. И.";"";""
