"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url"
"Аксаковы, О. С.";"Аксаковы";"О. С.";"О. С.";"Аксаков";"Аксаковым";"";"Аксаков, О. С.";"";""
"Сенат";"Сенат";"";"";"Сенат";"Сенату";"";"Сенат";"";""
"Боденштедт, Ф.";"Боденштедт";"Ф.";"Ф.";"Боденштедт";"Боденштедту";"";"Боденштедт, Ф.";"";""
"Нефёдов, Ф. Д.";"Нефёдов";"Филипп Диомидович";"Ф. Д.";"Нефёдов";"Нефедову";"Нефёдов, Филипп Диомидович";"Нефёдов, Ф. Д.";"";""
"Тютчев, Ф. И.";"Тютчев";"Фёдор Иванович";"Ф. И.";"Тютчев";"Тютчеву";"Тютчев, Фёдор Иванович";"Тютчев, Ф. И.";"";""
"Достоевский, Ф. М.";"Достоевский";"Фёдор Михайлович";"Ф. М.";"Достоевский";"Достоевскому";"Достоевский, Фёдор Михайлович";"Достоевский, Ф. М.";"";""
"Чижов, Ф. Ф.";"Чижов";"Ф. Ф.";"Ф. Ф.";"Чижов";"Чижову";"";"Чижов, Ф. Ф.";"";""
"Самарин, Ю. Ф.";"Самарин";"Юрий Фёдорович";"Ю. Ф.";"Самарин";"Самарину";"Самарин, Юрий Фёдорович";"Самарин, Ю. Ф.";"";""
"Грот, Я. К.";"Грот";"Яков Карлович";"Я. К.";"Грот";"Гроту";"Грот, Яков Карлович";"Грот, Я. К.";"";""
"Аксаков, Константин Сергеевич";"Аксаков";"Константин Сергеевич";"К. С.";"Аксаков";"Аксаков";"Аксаков, Константин Сергеевич";"Аксаков, К. С.";"";""
"Попов, А. Н.";"Попов";"А. Н.";"А. Н.";"Попов";"Попову";"";"Попов, А. Н.";"";""
"Панов, В. А.";"Панов";"В. А.";"В. А.";"Панов";"Панову";"";"Панов, В. А.";"";""
"Белинский, В. Г.";"Белинский";"Виссарион Григорьевич";"В. Г.";"Белинский";"Белинскому";"Белинский, Виссарион Григорьевич";"Белинский, В. Г.";"";""
"Аксакова, В. С.";"Аксакова";"В. С.";"В. С.";"Аксакова";"Аксаковой";"";"Аксакова, В. С.";"";""
"Карташевские, Г. Н.";"Карташевские";"Г. Н.";"Г. Н.";"Карташевские";"Карташевским";"";"Карташевские, Г. Н.";"";""
"Карташевские, Н. Т.";"Карташевские";"Н. Т.";"Н. Т.";"Карташевские";"Карташевским";"";"Карташевские, Н. Т.";"";""
"Аксаков, Г. С.";"Аксаков";"Г. С.";"Г. С.";"Аксаков";"Аксакову";"";"Аксаков, Г. С.";"";""
"Аксаковы, Г. С.";"Аксаковы";"Г. С.";"Г. С.";"Аксаков";"Аксаковым";"";"Аксаков, Г. С.";"";""
"Аксаковы, И. С.";"Аксаковы";"Иван Сергеевич";"И. С.";"Аксаков";"Аксаковым";"Аксаков, Иван Сергеевич";"Аксаков, И. С.";"";""
"Аксаков, И. С.";"Аксаков";"Иван Сергеевич";"И. С.";"Аксаков";"Аксакову";"Аксаков, Иван Сергеевич";"Аксаков, И. С.";"";""
"Карташевская, М. Г.";"Карташевская";"М. Г.";"М. Г.";"Карташевская";"Карташевской";"";"Карташевская, М. Г.";"";""
"Ригельман, Н. А.";"Ригельман";"Н. А.";"Н. А.";"Ригельман";"Ригельману";"";"Ригельман, Н. А.";"";""
"Бицын, Н.";"Бицын";"Н.";"Н.";"Бицын";"Бицыну";"";"Бицын, Н.";"";""
"Аксаковы, В. С.";"Аксаковы";"В. С.";"В. С.";"Аксаков";"Аксаковым";"";"Аксаков, В. С.";"";""
"Вяземский, П. А.";"Вяземский";"Пётр Андреевич";"П. А.";"Вяземский";"Вяземскому";"Вяземский, Пётр Андреевич";"Вяземский, П. А.";"";""
"Великопольская, С. М.";"Великопольская";"С. М.";"С. М.";"Великопольская";"Великопольской";"";"Великопольская, С. М.";"";""
"Аксаков, Сергей Тимофеевич";"Аксаков";"Сергей Тимофеевич";"С. Т.";"Аксаков";"Аксаков";"Аксаков, Сергей Тимофеевич";"Аксаков, С. Т.";"";""
"Панаев, А. И.";"Панаев";"А. И.";"А. И.";"Панаев";"Панаеву";"";"Панаев, А. И.";"";""
"Бенкендорф, А. Х.";"Бенкендорф";"Александр Христофорович";"А. Х.";"Бенкендорф";"Бенкендорфу";"Бенкендорф, Александр Христофорович";"Бенкендорф, А. Х.";"";""
"Бывшие студенты Казанского университета";"Бывшие студенты Казанского университета";"";"";"Бывшие студенты Казанского университета";"Бывшим студентам Казанского университета";"";"Бывшие студенты Казанского университета";"";""
"Аксаковы, М. С.";"Аксаковы";"М. С.";"М. С.";"Аксаков";"Аксаковым";"";"Аксаков, М. С.";"";""
"Главный управление цензуры";"Главный управление цензуры";"";"";"Главный управление цензуры";"Главному управлению цензуры";"";"Главный управление цензуры";"";""
"Голицын, Д. В.";"Голицын";"Д. В.";"Д. В.";"Голицын";"Голицыну";"";"Голицын, Д. В.";"";""
"Аксаковы, К. С.";"Аксаковы";"К. С.";"К. С.";"Аксаков";"Аксаковым";"";"Аксаков, К. С.";"";""
"Трутовский, К. А.";"Трутовский";"К. А.";"К. А.";"Трутовский";"Трутовскому";"";"Трутовский, К. А.";"";""
"Гоголь, М. И.";"Гоголь";"М. И.";"М. И.";"Гоголь";"Гоголь";"";"Гоголь, М. И.";"";""
"Погодин, М. П.";"Погодин";"Михаил Петрович";"М. П.";"Погодин";"Погодину";"Погодин, Михаил Петрович";"Погодин, М. П.";"";""
"Де-Пуле, М. Ф.";"Де-Пуле";"М. Ф.";"М. Ф.";"Де-Пуле";"Де-Пуле";"";"Де-Пуле, М. Ф.";"";""
"Надеждин, Н. И.";"Надеждин";"Николай Иванович";"Н. И.";"Надеждин";"Надеждину";"Надеждин, Николай Иванович";"Надеждин, Н. И.";"";""
"Макаров, Н. Я.";"Макаров";"Н. Я.";"Н. Я.";"Макаров";"Макарову";"";"Макаров, Н. Я.";"";""
"Перфильев";"Перфильев";"";"";"Перфильев";"Перфильеву";"";"Перфильев";"";""
"Шевырёв, С. П.";"Шевырёв";"Степан Петрович";"С. П.";"Шевырёв";"Шевыреву";"Шевырёв, Степан Петрович";"Шевырёв, С. П.";"";""
"Аксакова, Ольга Семеновна";"Аксакова";"Ольга Семеновна";"О. С.";"Аксакова";"Аксакова";"Аксакова, Ольга Семеновна";"Аксакова, О. С.";"";""
"Аладьин, Егор Васильевич";"Аладьин";"Егор Васильевич";"Е. В.";"Аладьин";"Аладьин";"Аладьин, Егор Васильевич";"Аладьин, Е. В.";"";""
"Александр I";"Александр I";"";"";"Александр I";"Александр I";"Александр I";"Александр I, ";"";""
"Шишков, А. С.";"Шишков";"Александр Семёнович";"А. С.";"Шишков";"Шишкову";"Шишков, Александр Семёнович";"Шишков, А. С.";"";""
"Александров, П.";"Александров";"П.";"П.";"Александров";"Александров";"Александров, П.";"Александров, П.";"";""
"Алексеев, Николай Степанович";"Алексеев";"Николай Степанович";"Н. С.";"Алексеев";"Алексеев";"Алексеев, Николай Степанович";"Алексеев, Н. С.";"";""
"Алмазов, Борис Николаевич";"Алмазов";"Борис Николаевич";"Б. Н.";"Алмазов";"Алмазов";"Алмазов, Борис Николаевич";"Алмазов, Б. Н.";"";""
"Лажечников, И. И.";"Лажечников";"Иван Иванович";"И. И.";"Лажечников";"Лажечникову";"Лажечников, Иван Иванович";"Лажечников, И. И.";"";""
"Горбунов, И. Ф.";"Горбунов";"Иван Фёдорович";"И. Ф.";"Горбунов";"Горбунову";"Горбунов, Иван Фёдорович";"Горбунов, И. Ф.";"";""
"Алчевская, Христина Даниловна";"Алчевская";"Христина Даниловна";"Х. Д.";"Алчевская";"Алчевская";"Алчевская, Христина Даниловна";"Алчевская, Х. Д.";"";""
"Успенский, Г. И.";"Успенский";"Глеб Иванович";"Г. И.";"Успенский";"Успенскому";"Успенский, Глеб Иванович";"Успенский, Г. И.";"";""
"Альбов, Михаил Нилович";"Альбов";"Михаил Нилович";"М. Н.";"Альбов";"Альбов";"Альбов, Михаил Нилович";"Альбов, М. Н.";"";""
"Чехов, А. П.";"Чехов";"Александр Павлович";"А. П.";"Чехов";"Чехову";"Чехов, Александр Павлович";"Чехов, А. П.";"";""
"Гуревич, Л. Я.";"Гуревич";"Л. Я.";"Л. Я.";"Гуревич";"Гуревич";"";"Гуревич, Л. Я.";"";""
"ред. «Новостей»";"ред. «Новостей»";"";"";"ред. «Новостей»";"ред. «Новостей»";"";"ред. «Новостей»";"";""
"Анастасевич, Василий Григорьевич";"Анастасевич";"Василий Григорьевич";"В. Г.";"Анастасевич";"Анастасевич";"Анастасевич, Василий Григорьевич";"Анастасевич, В. Г.";"";""
"Андреевский, Сергей Аркадьевич";"Андреевский";"Сергей Аркадьевич";"С. А.";"Андреевский";"Андреевский";"Андреевский, Сергей Аркадьевич";"Андреевский, С. А.";"";""
"Андриевский, Иван Ефимович";"Андриевский";"Иван Ефимович";"И. Е.";"Андриевский";"Андриевский";"Андриевский, Иван Ефимович";"Андриевский, И. Е.";"";""
"Чернышевский, Н. Г.";"Чернышевский";"Николай Гаврилович";"Н. Г.";"Чернышевский";"Чернышевскому";"Чернышевский, Николай Гаврилович";"Чернышевский, Н. Г.";"";""
"Анненков, Павел Васильевич";"Анненков";"Павел Васильевич";"П. В.";"Анненков";"Анненков";"Анненков, Павел Васильевич";"Анненков, П. В.";"";""
"Полтарацкий, С. Д.";"Полтарацкий";"С. Д.";"С. Д.";"Полтарацкий";"Полтарацкому";"";"Полтарацкий, С. Д.";"";""
"Буткевич, А. А.";"Буткевич";"Анна Алексеевна";"А. А.";"Буткевич";"Буткевич";"Буткевич, Анна Алексеевна";"Буткевич, А. А.";"";""
"Топоров, А. В.";"Топоров";"А. В.";"А. В.";"Топоров";"Топорову";"";"Топоров, А. В.";"";""
"Огарев, Н. П.";"Огарев";"Н. П.";"Н. П.";"Огарев";"Огареву";"";"Огарев, Н. П.";"";""
"Пыпин, А. Н.";"Пыпин";"Александр Николаевич";"А. Н.";"Пыпин";"Пыпину";"Пыпин, Александр Николаевич";"Пыпин, А. Н.";"";""
"Татаринов, А. Н.";"Татаринов";"А. Н.";"А. Н.";"Татаринов";"Татаринову";"";"Татаринов, А. Н.";"";""
"Анненковы, А. П.";"Анненковы";"А. П.";"А. П.";"Анненков";"Анненковым";"";"Анненков, А. П.";"";""
"Анненковы, И. П.";"Анненковы";"И. П.";"И. П.";"Анненков";"Анненковым";"";"Анненков, И. П.";"";""
"Анненковы, Ф. П.";"Анненковы";"Ф. П.";"Ф. П.";"Анненков";"Анненковым";"";"Анненков, Ф. П.";"";""
"Писемский, А. Ф.";"Писемский";"Алексей Феофилактович";"А. Ф.";"Писемский";"Писемскому";"Писемский, Алексей Феофилактович";"Писемский, А. Ф.";"";""
"Михайлов, В. М.";"Михайлов";"В. М.";"В. М.";"Михайлов";"Михайлову";"";"Михайлов, В. М.";"";""
"Боткин, В. П.";"Боткин";"Василий Петрович";"В. П.";"Боткин";"Боткину";"Боткин, Василий Петрович";"Боткин, В. П.";"";""
"Гаевский, В. П.";"Гаевский";"Виктор Павлович";"В. П.";"Гаевский";"Гаевскому";"Гаевский, Виктор Павлович";"Гаевский, В. П.";"";""
